,gal_num,redshift,xcoord,xcoord_error,ycoord,ycoord_error,int_mag,int_mag_error,half_light_rad,half_light_rad_error,sersic_index,sersic_index_error,axis_ratio,axis_ratio_error,position_angle,position_angle_error,reduced_chi_squared,inclination_angle,is_good_fit,shows_internal_struct,overlaps_w_object,is_big_galaxy,edited,double_model,QSO,azimuthal_angle
0,0,0.1843,1640.88,0.01,1958.44,0.01,-23.0,0.01,1.55,0.02,0.46,0.02,0.29,0.0,10.99,0.34,0.191,73.14204397750285,False,False,False,False,False,False,LBQS1435-0134,55.258767751207294
1,1,0.41296,2654.21,0.26,2575.02,0.42,-19.39,0.22,2.18,0.56,0.44,0.35,0.33,0.08,32.44,8.6,0.108,70.73122450851622,True,False,False,False,False,False,LBQS1435-0134,56.23603143754632
2,2,0.50876,2637.12,0.27,2009.5,0.17,-20.65,0.12,3.67,0.29,0.08,0.08,0.43,0.04,58.11,3.88,0.123,64.53243985752763,True,False,False,True,False,False,LBQS1435-0134,36.19550143012011
3,3,0.54623,2598.76,0.54,2490.22,0.97,-22.81,0.15,13.16,1.66,0.49,0.08,0.57,0.05,-5.52,5.89,0.111,55.24977424631754,True,False,False,True,False,False,LBQS1435-0134,4.259117933359723
4,4,0.61174,2240.16,0.01,2756.29,0.07,-19.61,0.06,4.12,0.03,0.01,0.01,0.42,0.06,4.52,6.34,0.104,65.16541251029842,True,False,False,True,False,False,LBQS1435-0134,63.86299374702369
5,5,0.71494,2284.22,0.06,2756.08,0.17,-21.79,0.04,4.12,0.16,0.25,0.04,0.36,0.02,2.44,1.43,0.108,68.89980397590698,False,False,False,True,False,False,LBQS1435-0134,9.289515374340374
6,6,0.75457,2343.85,0.09,2103.51,0.12,-23.42,0.08,7.47,0.62,1.1,0.08,0.75,0.03,22.96,5.35,0.122,41.40962210927086,False,False,False,True,False,False,LBQS1435-0134,21.242420188377736
7,7,0.81417,2321.67,0.09,1834.48,0.18,-21.62,0.06,3.21,0.24,0.54,0.08,0.53,0.03,6.86,4.03,0.133,57.99454517223575,False,False,False,True,False,False,LBQS1435-0134,15.690347943690234
8,8,0.89706,2131.46,0.04,1904.93,0.05,-22.45,0.05,2.93,0.16,0.97,0.06,0.78,0.03,42.49,5.97,0.12,38.73942459785565,False,False,False,False,False,False,LBQS1435-0134,87.7508157235413
9,9,0.90178,1776.86,0.06,2422.78,0.19,-24.36,0.02,14.26,0.26,0.46,0.02,0.22,0.0,16.04,0.28,0.15,77.29096700560457,False,False,False,True,False,False,LBQS1435-0134,63.328079226233456
10,10,0.92584,1797.65,0.09,1945.46,0.12,-21.65,0.37,6.06,2.82,2.04,0.71,0.55,0.08,-32.87,8.83,0.125,56.63298703076825,False,False,True,True,False,False,LBQS1435-0134,79.99944246847119
11,11,1.08538,1726.49,0.09,2414.77,0.23,-22.82,0.18,10.79,2.09,1.43,0.22,0.39,0.03,22.09,2.55,0.116,67.04550059860719,True,False,False,True,False,False,LBQS1435-0134,10.763005575991807
12,12,1.18458,1732.17,0.01,1812.55,0.0,-23.68,0.01,1.54,0.02,1.29,0.03,0.86,0.01,-10.48,2.22,0.138,30.68341710897582,False,False,False,False,False,False,LBQS1435-0134,54.89210893776743
13,13,1.20181,2721.66,0.19,2873.2,0.16,-20.76,0.1,3.39,0.22,0.07,0.06,0.66,0.06,46.61,7.07,0.09,48.70012720829413,False,False,False,True,False,False,LBQS1435-0134,1.528984512084501
14,14,1.26998,2705.55,0.22,2134.21,0.36,-22.79,0.13,7.66,1.05,0.91,0.13,0.62,0.04,-3.31,6.49,0.138,51.68386552633426,False,False,True,True,False,False,LBQS1435-0134,46.10580157635807
0,51,0.1765,4124.23,0.06,2361.39,0.02,-27.35,0.02,37.6,0.64,1.33,0.02,0.35,0.0,-78.0,0.15,0.0,69.51268488527734,True,True,False,True,False,False,PG1407+265,82.05157451687018
1,52,0.2197864353656768,1477.03,0.01,2743.74,0.01,-27.24,0.0,9.69,0.03,0.73,0.0,0.45,0.0,87.56,0.1,0.0,63.256316049597,True,True,False,True,False,False,PG1407+265,45.42568528696985
2,53,0.2286,1911.45,0.11,2587.6,0.09,-24.57,0.03,13.22,0.36,0.94,0.02,0.77,0.01,-78.77,2.39,0.0,39.64611114697372,True,False,False,True,False,False,PG1407+265,58.78342054054217
3,54,0.2495,2470.99,0.03,2756.63,0.02,-25.2,0.02,14.5,0.37,1.52,0.03,0.72,0.01,-59.83,1.12,0.0,43.945519562308846,True,True,False,True,True,False,PG1407+265,83.03669417786969
4,55,0.283,2147.12,0.01,1293.86,0.02,-25.72,0.0,10.0,0.06,1.03,0.01,0.41,0.0,-27.28,0.14,0.0,65.79516519854168,True,True,False,True,False,False,PG1407+265,26.064283955592952
5,56,0.2974,1646.99,0.01,2813.1,0.02,-23.86,0.01,4.19,0.05,0.91,0.01,0.69,0.01,24.61,0.92,0.0,46.369891132145696,True,False,False,True,False,False,PG1407+265,56.17164020530202
6,57,0.3242,1450.22,0.01,3482.31,0.01,-23.96,0.01,3.99,0.04,0.98,0.01,0.83,0.01,-43.99,1.66,0.0,33.901261996866275,True,True,False,True,True,False,PG1407+265,19.280661432016046
7,58,0.373,2807.6,0.07,3926.33,0.07,-23.97,0.05,12.03,0.65,1.41,0.06,0.93,0.02,66.05,11.61,0.0,21.56518501524267,False,True,False,True,False,False,PG1407+265,34.24781081910633
8,59,0.4039,1231.4,0.03,2623.12,0.02,-23.15,0.02,4.07,0.1,0.96,0.03,0.76,0.01,-57.71,2.57,0.0,40.53580211131656,True,False,False,True,False,False,PG1407+265,22.76284642386056
9,60,0.4601,1394.98,0.02,3098.37,0.01,-26.26,0.01,15.08,0.13,1.39,0.01,0.4,0.0,-57.83,0.15,0.0,66.42182152179817,True,True,False,True,False,False,PG1407+265,54.43889705569868
10,62,0.575431114342,973.9,0.0,3451.91,0.0,-25.99,0.0,4.8,0.02,1.23,0.0,0.68,0.0,87.09,0.19,0.0,47.15635695640366,True,True,False,True,False,False,PG1407+265,50.86319350511441
11,63,0.5998,1940.66,0.03,3052.4,0.04,-26.24,0.04,27.44,1.12,1.87,0.04,0.75,0.01,15.8,1.01,0.0,41.40962210927086,True,True,False,True,False,False,PG1407+265,27.87547707675121
12,64,0.6674,1773.12,0.04,3684.16,0.02,-26.09,0.01,16.07,0.15,0.99,0.01,0.56,0.0,74.02,0.34,0.0,55.94420225743209,True,True,False,True,False,False,PG1407+265,34.764959007719575
13,65,0.6776,2591.48,0.01,3291.2,0.02,-24.86,0.01,8.72,0.11,1.34,0.01,0.65,0.0,17.55,0.6,0.0,49.45839812649548,True,False,False,True,False,False,PG1407+265,2.649446054095337
14,66,0.6826,2435.36,0.0,3151.94,0.0,-25.62,0.0,5.49,0.03,1.3,0.01,0.61,0.0,-51.22,0.22,0.0,52.41049703514314,True,True,True,True,False,False,PG1407+265,74.40523891247834
15,67,0.8718,3151.41,0.01,3051.76,0.01,-25.98,0.01,11.16,0.14,1.95,0.02,0.9,0.0,-89.28,1.52,0.0,25.84193276316713,True,True,False,True,False,False,PG1407+265,74.95924848730755
0,0,0.140991136431694,2474.69,0.05,2635.86,0.07,-27.25,0.37,52.53,15.78,2.17,0.21,0.76,0.01,-11.4,2.01,0.252,,True,False,False,True,False,False,FBQSJ0751+2919,51.676879387704865
1,1,0.1463,1824.7,0.04,2660.46,0.06,-24.95,0.04,10.35,0.36,1.11,0.03,0.57,0.01,23.02,0.99,0.2,,True,False,False,True,True,False,FBQSJ0751+2919,75.17578599165668
2,2,0.1723918318748474,2281.64,0.07,2028.17,0.15,-23.5,0.05,8.51,0.46,0.9,0.05,0.41,0.01,24.58,1.37,0.16,,True,True,False,True,False,False,FBQSJ0751+2919,87.55978024786728
3,3,0.2120840400457382,1732.47,0.06,2278.32,0.07,-24.49,0.02,6.55,0.13,0.67,0.02,0.82,0.01,-7.45,2.81,0.172,,True,True,False,True,False,False,FBQSJ0751+2919,31.433351934958086
4,4,0.2821978628635406,2364.73,0.01,1972.29,0.01,-26.53,0.01,8.04,0.09,1.42,0.01,0.43,0.0,-8.98,0.21,0.94,,True,False,False,True,False,False,FBQSJ0751+2919,9.392991373616004
5,5,0.2885,1791.56,0.08,1982.39,0.04,-25.37,0.01,13.11,0.19,0.74,0.01,0.48,0.0,69.51,0.48,0.168,,True,False,False,True,False,False,FBQSJ0751+2919,44.43410362210071
6,6,0.295,2928.15,0.03,2335.85,0.05,-25.53,0.02,10.08,0.23,0.99,0.02,0.63,0.01,27.93,0.92,0.279,,True,False,False,True,False,False,FBQSJ0751+2919,89.17458013996337
7,7,0.3360468745231628,2727.08,0.01,2973.04,0.01,-23.99,0.01,2.18,0.03,1.07,0.02,0.97,0.01,66.82,11.9,0.147,,True,True,False,False,False,False,FBQSJ0751+2919,43.15511529267414
8,8,0.372,2906.42,0.05,1846.5,0.18,-25.59,0.02,25.92,0.41,0.72,0.01,0.21,0.0,16.96,0.18,0.154,,True,False,False,True,False,False,FBQSJ0751+2919,16.19753879076546
9,9,0.3850753903388977,1549.47,0.13,3424.77,0.09,-29.7,0.86,104.74,52.86,1.57,0.19,0.69,0.01,70.32,1.25,0.954,,True,False,False,True,True,False,FBQSJ0751+2919,12.875769703447576
10,10,0.4939,1091.13,0.08,2935.61,0.06,-25.49,0.02,17.27,0.36,0.89,0.02,0.29,0.0,-53.64,0.26,0.179,,True,True,False,True,False,False,FBQSJ0751+2919,31.015141248831238
11,11,0.5212332010269165,895.17,0.09,2644.28,0.09,-29.39,1.11,189.32,157.94,2.56,0.47,0.63,0.01,-44.79,1.61,0.87,,True,False,False,True,False,False,FBQSJ0751+2919,70.06054548018682
